"rt","stimulus","response","phase","prime","target","target_type","task","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"1251","<p style=""font-size: 48px; font-family: monospace;"">MACHINE</p>","w","test","FOSSIL","machine","unrelated","target","html-keyboard-response","239","176612","0.0-4.0-2.75",""
"1166","<p style=""font-size: 48px; font-family: monospace;"">ARZY</p>","n","test","CAUTION","arzy","nonword","target","html-keyboard-response","242","178502","0.0-4.0-2.76",""
"2047","<p style=""font-size: 48px; font-family: monospace;"">BOOTS</p>","w","test","LOSS","boots","unrelated","target","html-keyboard-response","245","181271","0.0-4.0-2.77",""
"1049","<p style=""font-size: 48px; font-family: monospace;"">RELIGION</p>","w","test","LION","religion","unrelated","target","html-keyboard-response","248","183032","0.0-4.0-2.78",""
"951","<p style=""font-size: 48px; font-family: monospace;"">PEMON</p>","n","test","TOURIST","pemon","nonword","target","html-keyboard-response","251","184693","0.0-4.0-2.79",""
"659","<p style=""font-size: 48px; font-family: monospace;"">SKY</p>","w","test","CLOUD","sky","associative","target","html-keyboard-response","254","186073","0.0-4.0-2.80",""
"1291","<p style=""font-size: 48px; font-family: monospace;"">COE</p>","w","test","HERO","coe","nonword","target","html-keyboard-response","257","188075","0.0-4.0-2.81",""
"836","<p style=""font-size: 48px; font-family: monospace;"">TABLE</p>","w","test","CHAIR","table","semantic","target","html-keyboard-response","260","189636","0.0-4.0-2.82",""
"1736","<p style=""font-size: 48px; font-family: monospace;"">STRUVE</p>","n","test","JAWS","struve","nonword","target","html-keyboard-response","263","192083","0.0-4.0-2.83",""
"3564","<p style=""font-size: 48px; font-family: monospace;"">NOCINE</p>","w","test","ROD","nocine","nonword","target","html-keyboard-response","266","196368","0.0-4.0-2.84",""
"2671","<p style=""font-size: 48px; font-family: monospace;"">THUNDER</p>","w","test","LIGHTNING","thunder","associative","target","html-keyboard-response","269","199766","0.0-4.0-2.85",""
"1016","<p style=""font-size: 48px; font-family: monospace;"">FOOTBALL</p>","w","test","CONDITIONER","football","unrelated","target","html-keyboard-response","272","201503","0.0-4.0-2.86",""
"958","<p style=""font-size: 48px; font-family: monospace;"">SERVICE</p>","w","test","JEWEL","service","unrelated","target","html-keyboard-response","275","203173","0.0-4.0-2.87",""
"724","<p style=""font-size: 48px; font-family: monospace;"">CLUB</p>","w","test","DEVIL","club","unrelated","target","html-keyboard-response","278","204621","0.0-4.0-2.88",""
"712","<p style=""font-size: 48px; font-family: monospace;"">FLOOR</p>","w","test","MOP","floor","associative","target","html-keyboard-response","281","206053","0.0-4.0-2.89",""
"1122","<p style=""font-size: 48px; font-family: monospace;"">BIX</p>","n","test","THIEF","bix","nonword","target","html-keyboard-response","284","207894","0.0-4.0-2.90",""
"2496","<p style=""font-size: 48px; font-family: monospace;"">ALTIC</p>","n","test","LINGERIE","altic","nonword","target","html-keyboard-response","287","211106","0.0-4.0-2.91",""
"2088","<p style=""font-size: 48px; font-family: monospace;"">SEN</p>","n","test","EYEBROWS","sen","nonword","target","html-keyboard-response","290","213927","0.0-4.0-2.92",""
"1599","<p style=""font-size: 48px; font-family: monospace;"">GULA</p>","n","test","SISTER","gula","nonword","target","html-keyboard-response","293","216242","0.0-4.0-2.93",""
"1436","<p style=""font-size: 48px; font-family: monospace;"">SATIN</p>","n","test","SILK","satin","semantic","target","html-keyboard-response","296","218399","0.0-4.0-2.94",""
"1736","<p style=""font-size: 48px; font-family: monospace;"">STIRK</p>","n","test","SPOT","stirk","nonword","target","html-keyboard-response","299","220857","0.0-4.0-2.95",""
"782","<p style=""font-size: 48px; font-family: monospace;"">APARTMENT</p>","w","test","RENT","apartment","associative","target","html-keyboard-response","302","222362","0.0-4.0-2.96",""
"3261","<p style=""font-size: 48px; font-family: monospace;"">LIND</p>","n","test","COPPER","lind","nonword","target","html-keyboard-response","305","226345","0.0-4.0-2.97",""
"2007","<p style=""font-size: 48px; font-family: monospace;"">PROM</p>","n","test","TUXEDO","prom","associative","target","html-keyboard-response","308","229086","0.0-4.0-2.98",""
"1073","<p style=""font-size: 48px; font-family: monospace;"">VOLCANO</p>","w","test","LAVA","volcano","associative","target","html-keyboard-response","311","230881","0.0-4.0-2.99",""
